"1303.2108","Alejandro Frery","Wagner Barreto da Silva, Corina da Costa Freitas, Sidnei Jo\~ao
  Siqueira Sant'Anna and Alejandro C. Frery","Classification of Segments in PolSAR Imagery by Minimum Stochastic
  Distances Between Wishart Distributions","Accepted for publication on the IEEE Journal of Selected Topics in
  Applied Earth Observations and Remote Sensing",,"10.1109/JSTARS.2013.2248132",,"cs.CV stat.AP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A new classifier for Polarimetric SAR (PolSAR) images is proposed and
assessed in this paper. Its input consists of segments, and each one is
assigned the class which minimizes a stochastic distance. Assuming the complex
Wishart model, several stochastic distances are obtained from the h-phi family
of divergences, and they are employed to derive hypothesis test statistics that
are also used in the classification process. This article also presents, as a
novelty, analytic expressions for the test statistics based on the following
stochastic distances between complex Wishart models: Kullback-Leibler,
Bhattacharyya, Hellinger, R\'enyi, and Chi-Square; also, the test statistic
based on the Bhattacharyya distance between multivariate Gaussian distributions
is presented. The classifier performance is evaluated using simulated and real
PolSAR data. The simulated data are based on the complex Wishart model, aiming
at the analysis of the proposal well controlled data. The real data refer to
the complex L-band image, acquired during the 1994 SIR-C mission. The results
of the proposed classifier are compared with those obtained by a Wishart
per-pixel/contextual classifier, and we show the better performance of the
region-based classification. The influence of the statistical modeling is
assessed by comparing the results using the Bhattacharyya distance between
multivariate Gaussian distributions for amplitude data. The results with
simulated data indicate that the proposed classification method has a very good
performance when the data follow the Wishart model. The proposed classifier
also performs better than the per-pixel/contextual classifier and the
Bhattacharyya Gaussian distance using SIR-C PolSAR data.
","[{""version"":""v1"",""created"":""Mon, 11 Mar 2013 18:39:52 GMT""}]","2016-11-15"
"1303.2560","Bong H. Lian","An Huang, Bong H. Lian, and Xinwen Zhu","Period Integrals and the Riemann-Hilbert Correspondence","44 pages; revisions made, new results added",,,,"math.AG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  A tautological system, introduced in [16][17], arises as a regular holonomic
system of partial differential equations that govern the period integrals of a
family of complete intersections in a complex manifold $X$, equipped with a
suitable Lie group action. A geometric formula for the holonomic rank of such a
system was conjectured in [4], and was verified for the case of projective
homogeneous space under an assumption. In this paper, we prove this conjecture
in full generality. By means of the Riemann-Hilbert correspondence and Fourier
transforms, we also generalize the rank formula to an arbitrary projective
manifold with a group action.
","[{""version"":""v1"",""created"":""Mon, 11 Mar 2013 16:03:40 GMT""},{""version"":""v2"",""created"":""Sat, 25 Oct 2014 14:20:49 GMT""}]","2014-10-28"
"1303.2561","Friedrich Knop","Friedrich Knop","Localization of spherical varieties","v1: 25 pages; v2: 21 pages, reformatted to LaTeX, otherwise minor
  changes; v3: 22 pages, final version","Algebra Number Theory 8 (2014), 703-728","10.2140/ant.2014.8.703",,"math.RT math.AG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We prove some fundamental structural results for spherical varieties in
arbitrary characteristic. In particular, we study Luna's two types of
localization and use it to analyze spherical roots, colors and their
interrelation. At the end, we propose a preliminary definition of a p-spherical
system.
","[{""version"":""v1"",""created"":""Mon, 11 Mar 2013 16:06:52 GMT""},{""version"":""v2"",""created"":""Thu, 30 May 2013 11:19:22 GMT""},{""version"":""v3"",""created"":""Sat, 23 Nov 2013 21:45:11 GMT""}]","2014-12-30"
"1303.2562","Mariana Dutra","M. Dutra, O. Louren\c{c}o, B. V. Carlson, A. Delfino, D. P. Menezes,
  S. S. Avancini, J. R. Stone, C. Provid\^encia, and S. Typel","Relativistic Mean-Field Models and Nuclear Matter Constraints","3 Pages, submitted for proceedings of XXXV Reuni\~ao de Trabalho
  sobre F\'isica Nuclear no Brasil 2012","AIP Conf. Proc. 1529, 238 (2013)","10.1063/1.4804125",,"nucl-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  This work presents a preliminary study of 147 relativistic mean-field (RMF)
hadronic models used in the literature, regarding their behavior in the nuclear
matter regime. We analyze here different kinds of such models, namely: (i)
linear models, (ii) nonlinear \sigma^3+\sigma^4 models, (iii)
\sigma^3+\sigma^4+\omega^4 models, (iv) models containing mixing terms in the
fields \sigma and \omega, (v) density dependent models, and (vi) point-coupling
ones. In the finite range models, the attractive (repulsive) interaction is
described in the Lagrangian density by the \sigma (\omega) field. The isospin
dependence of the interaction is modeled by the \rho meson field. We submit
these sets of RMF models to eleven macroscopic (experimental and empirical)
constraints, used in a recent study in which 240 Skyrme parametrizations were
analyzed. Such constraints cover a wide range of properties related to
symmetric nuclear matter (SNM), pure neutron matter (PNM), and both SNM and
PNM.
","[{""version"":""v1"",""created"":""Mon, 11 Mar 2013 16:09:43 GMT""}]","2014-05-28"
"1303.2563","Alfred Whitehead","Alfred J. Whitehead, Stephen L.W. McMillan, Enrico Vesperini, Simon
  Portegies Zwart","Simulating Star Clusters with the AMUSE Software Framework: I.
  Dependence of Cluster Lifetimes on Model Assumptions and Cluster Dissolution
  Modes","12 pages, 10 figures, accepted by ApJ 2013-10-07",,"10.1088/0004-637X/778/2/118",,"astro-ph.GA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We perform a series of simulations of evolving star clusters using AMUSE (the
Astrophysical Multipurpose Software Environment), a new community-based
multi-physics simulation package, and compare our results to existing work.
These simulations model a star cluster beginning with a King model distribution
and a selection of power-law initial mass functions, and contain a tidal
cut-off. They are evolved using collisional stellar dynamics and include mass
loss due to stellar evolution. After determining that the differences between
AMUSE results and prior publications are understood, we explored the variation
in cluster lifetimes due to the random realization noise introduced by
transforming a King model to specific initial conditions. This random
realization noise can affect the lifetime of a simulated star cluster by up to
30%. Two modes of star cluster dissolution were identified: a mass evolution
curve that contains a run-away cluster dissolution with a sudden loss of mass,
and a dissolution mode that does not contain this feature. We refer to these
dissolution modes as ""dynamical"" and ""relaxation"" dominated respectively. For
Salpeter-like initial mass functions, we determined the boundary between these
two modes in terms of the dynamical and relaxation time scales.
","[{""version"":""v1"",""created"":""Mon, 11 Mar 2013 16:13:14 GMT""},{""version"":""v2"",""created"":""Wed, 16 Oct 2013 22:28:25 GMT""}]","2013-11-13"
"1303.2564","Vadim E. Levit","Vadim E. Levit and Eugen Mandrescu","On f-Symmetries of the Independence Polynomial","10 pages",,,,"cs.DM math.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  An independent set in a graph is a set of pairwise non-adjacent vertices, and
a(G) is the size of a maximum independent set in the graph G. If s_{k} is the
number of independent sets of cardinality k in G, then
I(G;x)=s_0+s_1*x+s_2*x^2+...+s_a*x^a,a=a(G), is called the independence
polynomial of G (I. Gutman and F. Harary, 1983). If s_{a-i}=f(i)*s_{i} holds
for every i, then I(G;x) is called f-symmetric (f-palindromic). If f(i)=1, then
I(G;x) is symmetric (palindromic). The corona of the graphs G and H is the
graph G*H obtained by joining each vertex of G to all the vertices of a copy of
H. In this paper we show that if H is a graph with p vertices, q edges, and
alpha(H)=2, then I(G*H;x) is f-symmetric for some elegant function f. In
particular, if H = K_{r}-e, we show that I(G*H;x) is symmetric and unimodal,
with a unique mode. This finding generalizes results due to (Stevanovic, 1998)
and (Mandrescu, 2012) claiming that I(G*(K_2-e);x)=I(G*2K_1;x) is symmetric and
unimodal for every graph G.
","[{""version"":""v1"",""created"":""Mon, 11 Mar 2013 16:15:07 GMT""}]","2013-03-12"
"1303.2566","Sergei Lukyanov L","Sergei L. Lukyanov","ODE/IM correspondence for the Fateev model","28 pages, 4 figures",,"10.1007/JHEP12(2013)012","RUNHETC-2013-06","hep-th math-ph math.MP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The Fateev model is somewhat special among two-dimensional quantum field
theories. For different values of the parameters,it can be reduced to a variety
of integrable systems. An incomplete list of the reductions includes O(3) and
O(4) non-linear sigma models and their continuous deformations (2D and 3D
sausages, anisotropic principal chiral field), the Bukhvostov-Lipatov model,
the N=2 supersymmetric sine-Gordon model, as well as the integrable perturbed
SU_2(n)\otimes SU_2(p-2)/SU_2(n+p-2) coset CFT. The model possesses a
mysterious symmetry structure of the exceptional quantum superalgebras
U_q{\hat{\big(D(2|1;\alpha)}}\big). In this work, we propose the ODE/IM
correspondence between the Fateev model and a certain generalization of the
classical problem of constant mean curvature embedding of a thrice-punctured
sphere in AdS_3.
","[{""version"":""v1"",""created"":""Mon, 11 Mar 2013 16:16:09 GMT""},{""version"":""v2"",""created"":""Wed, 13 Mar 2013 15:38:05 GMT""},{""version"":""v3"",""created"":""Sun, 7 Apr 2013 15:47:41 GMT""}]","2015-06-15"
"1303.2568","Michal Siwak","Michal Siwak, Slavek M. Rucinski, Jaymie M. Matthews, Rainer Kuschnig,
  David B. Guenther, Anthony F. J. Moffat, Jason F. Rowe, Dimitar Sasselov,
  Werner W. Weiss","Photometric variability in FU Ori and Z CMa as observed by MOST","Accepted by MNRAS",,"10.1093/mnras/stt441",,"astro-ph.SR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Photometric observations obtained by the MOST satellite were used to
characterize optical small scale variability of the young stars FU Ori and Z
CMa. Wavelet analysis for FU Ori reveals the possible existence of several 2-9
d quasi-periodic features occurring nearly simultaneously; they may be
interpreted as plasma parcels or other localized disc heterogeneities revolving
at different Keplerian radii in the accretion disc. Their periods may shorten
slowly which may be due to spiralling in of individual parcels toward the inner
disc radius, estimated at 4.8+/-0.2 R_sun. Analysis of additional multicolour
data confirms the previously obtained relation between variations in the B-V
colour index and the V magnitude. In contrast to the FU Ori results, the
oscillation spectrum of Z CMa does not reveal any periodicities with the
wavelet spectrum possibly dominated by outburst of the Herbig Be component.
","[{""version"":""v1"",""created"":""Mon, 11 Mar 2013 16:16:49 GMT""}]","2015-06-15"
"1303.2569","Ken-Ichi Nishikawa","K.-I. Nishikawa, P. Hardee, B. Zhang, I. Dutan, M. Medvedev, E. J.
  Choi, K. W. Min, J. Niemiec, Y. Mizuno, A. Nordlund, J. T. Frederiksen, H.
  Sol, M. Pohl, and D. H. Hartmann","Radiation from accelerated particles in relativistic jets with shocks,
  shear-flow, and reconnection","6 pages, 4 figures, 2012 Fermi Symposium proceedings - eConf C121028",,"10.1051/eas/1361026",,"astro-ph.HE","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We have investigated particle acceleration and shock structure associated
with an unmagnetized relativistic jet propagating into an unmagnetized plasma.
Strong magnetic fields generated in the trailing jet shock lead to transverse
deflection and acceleration of the electrons. We have self-consistently
calculated the radiation from the electrons accelerated in the turbulent
magnetic fields. We find that the synthetic spectra depend on the bulk Lorentz
factor of the jet, the jet temperature, and the strength of the magnetic fields
generated in the shock. We have also begun study of electron acceleration in
the strong magnetic fields generated by kinetic shear (Kelvin-Helmholtz)
instabilities. Our calculated spectra should lead to a better understanding of
the complex time evolution and/or spectral structure from gamma-ray bursts,
relativistic jets, and supernova remnants.
","[{""version"":""v1"",""created"":""Mon, 11 Mar 2013 16:23:24 GMT""}]","2015-06-15"
"1303.2570","Alvaro Pelayo","\'Alvaro Pelayo","Symplectic spectral geometry of semiclassical operators","To appear in Bulletin of the Belgian Mathematical Society, 11 pages",,,,"math-ph math.MP math.SG math.SP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In the past decade there has been a flurry of activity at the intersection of
spectral theory and symplectic geometry. In this paper we review recent results
on semiclassical spectral theory for commuting Berezin-Toeplitz and
h-pseudodifferential operators. The paper emphasizes the interplay between
spectral theory of operators (quantum theory) and symplectic geometry of
Hamiltonians (classical theory), with an eye towards recent developments on the
geometry of finite dimensional integrable systems.
","[{""version"":""v1"",""created"":""Mon, 11 Mar 2013 16:25:07 GMT""}]","2013-03-12"
