"1303.4645","Hui Zhang","Hui Zhang and Wotao Yin","Gradient methods for convex minimization: better rates under weaker
  conditions","20 pages, 4 figures, typos are corrected, Theorem 2 is new",,,"UCLA CAM Reports 13-17","math.OC cs.IT math.IT math.NA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The convergence behavior of gradient methods for minimizing convex
differentiable functions is one of the core questions in convex optimization.
This paper shows that their well-known complexities can be achieved under
conditions weaker than the commonly accepted ones. We relax the common gradient
Lipschitz-continuity condition and strong convexity condition to ones that hold
only over certain line segments. Specifically, we establish complexities
$O(\frac{R}{\epsilon})$ and $O(\sqrt{\frac{R}{\epsilon}})$ for the ordinary and
accelerate gradient methods, respectively, assuming that $\nabla f$ is
Lipschitz continuous with constant $R$ over the line segment joining $x$ and
$x-\frac{1}{R}\nabla f$ for each $x\in\dom f$. Then we improve them to
$O(\frac{R}{\nu}\log(\frac{1}{\epsilon}))$ and
$O(\sqrt{\frac{R}{\nu}}\log(\frac{1}{\epsilon}))$ for function $f$ that also
satisfies the secant inequality $\ < \nabla f(x), x- x^*\ > \ge \nu\|x-x^*\|^2$
for each $x\in \dom f$ and its projection $x^*$ to the minimizer set of $f$.
The secant condition is also shown to be necessary for the geometric decay of
solution error. Not only are the relaxed conditions met by more functions, the
restrictions give smaller $R$ and larger $\nu$ than they are without the
restrictions and thus lead to better complexity bounds. We apply these results
to sparse optimization and demonstrate a faster algorithm.
","[{""version"":""v1"",""created"":""Tue, 19 Mar 2013 16:03:17 GMT""},{""version"":""v2"",""created"":""Sun, 8 Sep 2013 01:17:22 GMT""}]","2013-09-10"
"1303.4646","Guy Wilkinson","LHCb collaboration: R. Aaij, C. Abellan Beteta, B. Adeva, M. Adinolfi,
  C. Adrover, A. Affolder, Z. Ajaltouni, J. Albrecht, F. Alessio, M. Alexander,
  S. Ali, G. Alkhazov, P. Alvarez Cartelle, A.A. Alves Jr, S. Amato, S. Amerio,
  Y. Amhis, L. Anderlini, J. Anderson, R. Andreassen, R.B. Appleby, O. Aquines
  Gutierrez, F. Archilli, A. Artamonov, M. Artuso, E. Aslanides, G. Auriemma,
  S. Bachmann, J.J. Back, C. Baesso, V. Balagura, W. Baldini, R.J. Barlow, C.
  Barschel, S. Barsuk, W. Barter, Th. Bauer, A. Bay, J. Beddow, F. Bedeschi, I.
  Bediaga, S. Belogurov, K. Belous, I. Belyaev, E. Ben-Haim, M. Benayoun, G.
  Bencivenni, S. Benson, J. Benton, A. Berezhnoy, R. Bernet, M.-O. Bettler, M.
  van Beuzekom, A. Bien, S. Bifani, T. Bird, A. Bizzeti, P.M. Bj{\o}rnstad, T.
  Blake, F. Blanc, J. Blouw, S. Blusk, V. Bocci, A. Bondar, N. Bondar, W.
  Bonivento, S. Borghi, A. Borgia, T.J.V. Bowcock, E. Bowen, C. Bozzi, T.
  Brambach, J. van den Brand, J. Bressieux, D. Brett, M. Britsch, T. Britton,
  N.H. Brook, H. Brown, I. Burducea, A. Bursche, G. Busetto, J. Buytaert, S.
  Cadeddu, O. Callot, M. Calvi, M. Calvo Gomez, A. Camboni, P. Campana, A.
  Carbone, G. Carboni, R. Cardinale, A. Cardini, H. Carranza-Mejia, L. Carson,
  K. Carvalho Akiba, G. Casse, M. Cattaneo, Ch. Cauet, M. Charles, Ph.
  Charpentier, P. Chen, N. Chiapolini, M. Chrzaszcz, K. Ciba, X. Cid Vidal, G.
  Ciezarek, P.E.L. Clarke, M. Clemencic, H.V. Cliff, J. Closier, C. Coca, V.
  Coco, J. Cogan, E. Cogneras, P. Collins, A. Comerma-Montells, A. Contu, A.
  Cook, M. Coombes, S. Coquereau, G. Corti, B. Couturier, G.A. Cowan, D. Craik,
  S. Cunliffe, R. Currie, C. D'Ambrosio, P. David, P.N.Y. David, I. De Bonis,
  K. De Bruyn, S. De Capua, M. De Cian, J.M. De Miranda, M. De Oyanguren
  Campos, L. De Paula, W. De Silva, P. De Simone, D. Decamp, M. Deckenhoff, L.
  Del Buono, D. Derkach, O. Deschamps, F. Dettori, A. Di Canto, H. Dijkstra, M.
  Dogaru, S. Donleavy, F. Dordei, A. Dosil Su\'arez, D. Dossett, A. Dovbnya, F.
  Dupertuis, R. Dzhelyadin, A. Dziurda, A. Dzyuba, S. Easo, U. Egede, V.
  Egorychev, S. Eidelman, D. van Eijk, S. Eisenhardt, U. Eitschberger, R.
  Ekelhof, L. Eklund, I. El Rifai, Ch. Elsasser, D. Elsby, A. Falabella, C.
  F\""arber, G. Fardell, C. Farinelli, S. Farry, V. Fave, D. Ferguson, V.
  Fernandez Albor, F. Ferreira Rodrigues, M. Ferro-Luzzi, S. Filippov, C.
  Fitzpatrick, M. Fontana, F. Fontanelli, R. Forty, O. Francisco, M. Frank, C.
  Frei, M. Frosini, S. Furcas, E. Furfaro, A. Gallas Torreira, D. Galli, M.
  Gandelman, P. Gandini, Y. Gao, J. Garofoli, P. Garosi, J. Garra Tico, L.
  Garrido, C. Gaspar, R. Gauld, E. Gersabeck, M. Gersabeck, T. Gershon, Ph.
  Ghez, V. Gibson, V.V. Gligorov, C. G\""obel, D. Golubkov, A. Golutvin, A.
  Gomes, H. Gordon, M. Grabalosa G\'andara, R. Graciani Diaz, L.A. Granado
  Cardoso, E. Graug\'es, G. Graziani, A. Grecu, E. Greening, S. Gregson, O.
  Gr\""unberg, B. Gui, E. Gushchin, Yu. Guz, T. Gys, C. Hadjivasiliou, G.
  Haefeli, C. Haen, S.C. Haines, S. Hall, T. Hampson, S. Hansmann-Menzemer, N.
  Harnew, S.T. Harnew, J. Harrison, T. Hartmann, J. He, V. Heijne, K. Hennessy,
  P. Henrard, J.A. Hernando Morata, E. van Herwijnen, E. Hicks, D. Hill, M.
  Hoballah, C. Hombach, P. Hopchev, W. Hulsbergen, P. Hunt, T. Huse, N.
  Hussain, D. Hutchcroft, D. Hynds, V. Iakovenko, M. Idzik, P. Ilten, R.
  Jacobsson, A. Jaeger, E. Jans, P. Jaton, F. Jing, M. John, D. Johnson, C.R.
  Jones, B. Jost, M. Kaballo, S. Kandybei, M. Karacson, T.M. Karbach, I.R.
  Kenyon, U. Kerzel, T. Ketel, A. Keune, B. Khanji, O. Kochebina, I. Komarov,
  R.F. Koopman, P. Koppenburg, M. Korolev, A. Kozlinskiy, L. Kravchuk, K.
  Kreplin, M. Kreps, G. Krocker, P. Krokovny, F. Kruse, M. Kucharczyk, V.
  Kudryavtsev, T. Kvaratskheliya, V.N. La Thi, D. Lacarrere, G. Lafferty, A.
  Lai, D. Lambert, R.W. Lambert, E. Lanciotti, G. Lanfranchi, C. Langenbruch,
  T. Latham, C. Lazzeroni, R. Le Gac, J. van Leerdam, J.-P. Lees, R. Lef\`evre,
  A. Leflat, J. Lefran\c{c}ois, S. Leo, O. Leroy, B. Leverington, Y. Li, L. Li
  Gioi, M. Liles, R. Lindner, C. Linn, B. Liu, G. Liu, J. von Loeben, S. Lohn,
  J.H. Lopes, E. Lopez Asamar, N. Lopez-March, H. Lu, D. Lucchesi, J. Luisier,
  H. Luo, F. Machefert, I.V. Machikhiliyan, F. Maciuc, O. Maev, S. Malde, G.
  Manca, G. Mancinelli, U. Marconi, R. M\""arki, J. Marks, G. Martellotti, A.
  Martens, L. Martin, A. Mart\'in S\'anchez, M. Martinelli, D. Martinez Santos,
  D. Martins Tostes, A. Massafferri, R. Matev, Z. Mathe, C. Matteuzzi, E.
  Maurice, A. Mazurov, J. McCarthy, R. McNulty, A. Mcnab, B. Meadows, F. Meier,
  M. Meissner, M. Merk, D.A. Milanes, M.-N. Minard, J. Molina Rodriguez, S.
  Monteil, D. Moran, P. Morawski, M.J. Morello, R. Mountain, I. Mous, F.
  Muheim, K. M\""uller, R. Muresan, B. Muryn, B. Muster, P. Naik, T. Nakada, R.
  Nandakumar, I. Nasteva, M. Needham, N. Neufeld, A.D. Nguyen, T.D. Nguyen, C.
  Nguyen-Mau, M. Nicol, V. Niess, R. Niet, N. Nikitin, T. Nikodem, A.
  Nomerotski, A. Novoselov, A. Oblakowska-Mucha, V. Obraztsov, S. Oggero, S.
  Ogilvy, O. Okhrimenko, R. Oldeman, M. Orlandea, J.M. Otalora Goicochea, P.
  Owen, B.K. Pal, A. Palano, M. Palutan, J. Panman, A. Papanestis, M.
  Pappagallo, C. Parkes, C.J. Parkinson, G. Passaleva, G.D. Patel, M. Patel,
  G.N. Patrick, C. Patrignani, C. Pavel-Nicorescu, A. Pazos Alvarez, A.
  Pellegrino, G. Penso, M. Pepe Altarelli, S. Perazzini, D.L. Perego, E. Perez
  Trigo, A. P\'erez-Calero Yzquierdo, P. Perret, M. Perrin-Terrin, G. Pessina,
  K. Petridis, A. Petrolini, A. Phan, E. Picatoste Olloqui, B. Pietrzyk, T.
  Pila\v{r}, D. Pinci, S. Playfer, M. Plo Casasus, F. Polci, G. Polok, A.
  Poluektov, E. Polycarpo, D. Popov, B. Popovici, C. Potterat, A. Powell, J.
  Prisciandaro, V. Pugatch, A. Puig Navarro, G. Punzi, W. Qian, J.H.
  Rademacker, B. Rakotomiaramanana, M.S. Rangel, I. Raniuk, N. Rauschmayr, G.
  Raven, S. Redford, M.M. Reid, A.C. dos Reis, S. Ricciardi, A. Richards, K.
  Rinnert, V. Rives Molina, D.A. Roa Romero, P. Robbe, E. Rodrigues, P.
  Rodriguez Perez, S. Roiser, V. Romanovsky, A. Romero Vidal, J. Rouvinet, T.
  Ruf, F. Ruffini, H. Ruiz, P. Ruiz Valls, G. Sabatino, J.J. Saborido Silva, N.
  Sagidova, P. Sail, B. Saitta, C. Salzmann, B. Sanmartin Sedes, M. Sannino, R.
  Santacesaria, C. Santamarina Rios, E. Santovetti, M. Sapunov, A. Sarti, C.
  Satriano, A. Satta, M. Savrie, D. Savrina, P. Schaack, M. Schiller, H.
  Schindler, M. Schlupp, M. Schmelling, B. Schmidt, O. Schneider, A. Schopper,
  M.-H. Schune, R. Schwemmer, B. Sciascia, A. Sciubba, M. Seco, A. Semennikov,
  K. Senderowska, I. Sepp, N. Serra, J. Serrano, P. Seyfert, M. Shapkin, I.
  Shapoval, P. Shatalov, Y. Shcheglov, T. Shears, L. Shekhtman, O. Shevchenko,
  V. Shevchenko, A. Shires, R. Silva Coutinho, T. Skwarnicki, N.A. Smith, E.
  Smith, M. Smith, M.D. Sokoloff, F.J.P. Soler, F. Soomro, D. Souza, B. Souza
  De Paula, B. Spaan, A. Sparkes, P. Spradlin, F. Stagni, S. Stahl, O.
  Steinkamp, S. Stoica, S. Stone, B. Storaci, M. Straticiuc, U. Straumann, V.K.
  Subbiah, S. Swientek, V. Syropoulos, M. Szczekowski, P. Szczypka, T. Szumlak,
  S. T'Jampens, M. Teklishyn, E. Teodorescu, F. Teubert, C. Thomas, E. Thomas,
  J. van Tilburg, V. Tisserand, M. Tobin, S. Tolk, D. Tonelli, S.
  Topp-Joergensen, N. Torr, E. Tournefier, S. Tourneur, M.T. Tran, M. Tresch,
  A. Tsaregorodtsev, P. Tsopelas, N. Tuning, M. Ubeda Garcia, A. Ukleja, D.
  Urner, U. Uwer, V. Vagnoni, G. Valenti, R. Vazquez Gomez, P. Vazquez
  Regueiro, S. Vecchi, J.J. Velthuis, M. Veltri, G. Veneziano, M. Vesterinen,
  B. Viaud, D. Vieira, X. Vilasis-Cardona, A. Vollhardt, D. Volyanskyy, D.
  Voong, A. Vorobyev, V. Vorobyev, C. Vo\ss, H. Voss, R. Waldi, R. Wallace, S.
  Wandernoth, J. Wang, D.R. Ward, N.K. Watson, A.D. Webber, D. Websdale, M.
  Whitehead, J. Wicht, J. Wiechczynski, D. Wiedner, L. Wiggers, G. Wilkinson,
  M.P. Williams, M. Williams, F.F. Wilson, J. Wishahi, M. Witek, S.A. Wotton,
  S. Wright, S. Wu, K. Wyllie, Y. Xie, F. Xing, Z. Xing, Z. Yang, R. Young, X.
  Yuan, O. Yushchenko, M. Zangoli, M. Zavertyaev, F. Zhang, L. Zhang, W.C.
  Zhang, Y. Zhang, A. Zhelezov, A. Zhokhov, L. Zhong, A. Zvyagin","Observation of the suppressed ADS modes $B^\pm \to [\pi^\pm K^\mp
  \pi^+\pi^-]_D K^\pm$ and $B^\pm \to [\pi^\pm K^\mp \pi^+\pi^-]_D \pi^\pm$","14 pages, 3 figures. Minor textual changes after journal acceptance","Phys Lett B 723 (2013) 44-53","10.1016/j.physletb.2013.05.009","CERN-PH-EP-2013-038 and LHCb-PAPER-2012-055","hep-ex","http://creativecommons.org/licenses/by/3.0/","  An analysis of $B^{\pm}\to DK^{\pm}$ and $B^{\pm}\to D\pi^{\pm}$ decays is
presented where the $D$ meson is reconstructed in the four-body final state
$K^{\pm}\pi^{\mp} \pi^+ \pi^-$. Using LHCb data corresponding to an integrated
luminosity of $1.0{\rm \,fb}^{-1}$, first observations are made of the
suppressed ADS modes $B^{\pm}\to [\pi^{\pm} K^{\mp}\pi^+\pi^-]_D K^{\pm}$ and
$B^{\pm}\to [\pi^{\pm} K^{\mp} \pi^+\pi^- ]_D\pi^{\pm}$ with a significance of
$5.1\sigma$ and greater than $10\sigma$, respectively. Measurements of CP
asymmetries and CP-conserving ratios of partial widths from this family of
decays are also performed. The magnitude of the ratio between the suppressed
and favoured $B^{\pm}\to DK^{\pm}$ amplitudes is determined to be $r^K_B =
0.097 \pm{0.011}$.
","[{""version"":""v1"",""created"":""Tue, 19 Mar 2013 16:04:03 GMT""},{""version"":""v2"",""created"":""Sat, 4 May 2013 15:51:50 GMT""}]","2016-08-11"
"1303.4647","Hui Tian","H. Tian, S. Tomczyk, S. W. McIntosh, C. Bethge, G. de Toma, S. Gibson","Observations of Coronal Mass Ejections with the Coronal Multichannel
  Polarimeter","6 figures. Will appear in the special issue of Coronal Magnetism,
  Sol. Phys","Solar Phys (2013) 288, 637","10.1007/s11207-013-0317-5",,"astro-ph.SR astro-ph.EP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The Coronal Multichannel Polarimeter (CoMP) measures not only the
polarization of coronal emission, but also the full radiance profiles of
coronal emission lines. For the first time, CoMP observations provide
high-cadence image sequences of the coronal line intensity, Doppler shift and
line width simultaneously in a large field of view. By studying the Doppler
shift and line width we may explore more of the physical processes of CME
initiation and propagation. Here we identify a list of CMEs observed by CoMP
and present the first results of these observations. Our preliminary analysis
shows that CMEs are usually associated with greatly increased Doppler shift and
enhanced line width. These new observations provide not only valuable
information to constrain CME models and probe various processes during the
initial propagation of CMEs in the low corona, but also offer a possible
cost-effective and low-risk means of space weather monitoring.
","[{""version"":""v1"",""created"":""Tue, 19 Mar 2013 16:04:21 GMT""},{""version"":""v2"",""created"":""Wed, 1 May 2013 14:14:09 GMT""}]","2016-10-05"
"1303.4648","Manuel Glas","Manuel Glas, Daniel Ebke, Christian Sterwerf, Jan-Michael Schmalhorst,
  Catherine Jenkins, Elke Arenholz and G\""unter Reiss","X-ray absorption spectroscopy and magnetic circular dichroism studies of
  L1_0-Mn-Ga thin films","5 pages, 6 figures",,"10.1063/1.4827377",,"cond-mat.mtrl-sci","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Tetragonally distorted \(\rm{Mn}_{3-x}\rm{Ga}_x\) thin films with \(0.1< x <
2\) show a strong perpendicular magnetic anisotropy and low magnetization and
thus have the potential to serve as electrodes in spin transfer torque magnetic
random access memory. Because a direct capping of these films with MgO is
problematic due to oxide formation, we examined the influence of a CoFeB
interlayer, and of two different deposition methods for the MgO barrier on the
formation of interfacial MnO for \(\rm{Mn}_{62}\rm{Ga}_{38}\) by element
specific X-ray absorption spectroscopy (XAS) and magnetic circular dichroism
(XMCD). A highly textured L1\(_0\) crystal structure of the Mn-Ga films was
verified by X-ray diffraction (XRD) measurements. For samples with e-beam
evaporated MgO barrier no evidence for MnO was found, whereas in samples with
magnetron sputtered MgO MnO was detected, even for the thickest interlayer
thickness. Both XAS and XMCD measurements showed an increasing interfacial MnO
amount with decreasing CoFeB interlayer thickness. Additional element specific
full hysteresis loops determined an out-of-plane magnetization axis for the Mn
and Co, respectively.
","[{""version"":""v1"",""created"":""Tue, 19 Mar 2013 16:06:27 GMT""},{""version"":""v2"",""created"":""Tue, 21 May 2013 11:36:49 GMT""}]","2015-06-15"
"1303.4650","Prina Patel","Prina Patel (ACGC, ICG), Filipe B. Abdalla (UCL), David J. Bacon
  (ICG), Barnaby Rowe (UCL, IAP), Oleg Smirnov (Rhodes, SKA-SA) and Rob J.
  Beswick (e-MERLIN/VLBI, Jodrell Bank)","Weak Lensing Measurements in Simulations of Radio Images","Accepted to MNRAS, some changes from submitted version",,"10.1093/mnras/stu1588",,"astro-ph.CO astro-ph.IM","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present a study of weak lensing shear measurements for simulated galaxy
images at radio wavelengths. We construct a simulation pipeline into which we
can input galaxy images of known ellipticity, and with which we then simulate
observations with eMERLIN and the international LOFAR array. The simulations
include the effects of the CLEAN algorithm, uv sampling, observing angle, and
visibility noise, and produce realistic restored images of the galaxies. We
apply a shapelet-based shear measurement method to these images and test our
ability to recover the true source ellipticities. We model and deconvolve the
effective PSF, and find suitable parameters for CLEAN and shapelet
decomposition of galaxies. We demonstrate that ellipticities can be measured
faithfully in these radio simulations, with no evidence of an additive bias and
a modest (10%) multiplicative bias on the ellipticity measurements. Our
simulation pipeline can be used to test shear measurement procedures and
systematics for the next generation of radio telescopes.
","[{""version"":""v1"",""created"":""Tue, 19 Mar 2013 16:18:25 GMT""},{""version"":""v2"",""created"":""Mon, 11 Aug 2014 12:28:39 GMT""}]","2015-06-15"
"1303.4651","Endre Kajari","Michael Buser, Endre Kajari and Wolfgang P. Schleich","Visualization of the G\""odel universe","34 pages, 20 figures, for supplementary movies and higher quality
  figures please visit http://iopscience.iop.org/1367-2630/15/1/013063","New J. Phys. 15, 013063 (2013)","10.1088/1367-2630/15/1/013063",,"gr-qc","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The standard model of modern cosmology, which is based on the
Friedmann-Lema\^itre-Robertson-Walker metric, allows the definition of an
absolute time. However, there exist (cosmological) models consistent with the
theory of general relativity for which such a definition cannot be given since
they offer the possibility of time travel. The simplest of these models is the
cosmological solution discovered by Kurt G\""odel, which describes a
homogeneous, rotating universe. Disregarding the paradoxes that come along with
the abolishment of causality in such spacetimes, we are interested in the
purely academical question how an observer would visually perceive the time
travel of an object in G\""odel's universe. For this purpose, we employ the
technique of ray tracing, a standard tool in computer graphics, and visualize
various scenarios to bring out the optical effects experienced by an observer
located in this universe. In this way, we provide a new perspective on the
space-time structure of G\""odel's model.
","[{""version"":""v1"",""created"":""Tue, 19 Mar 2013 16:19:49 GMT""}]","2013-03-20"
"1303.4652","Terry Farrelly","Terence C. Farrelly, Anthony J. Short","Causal Fermions in Discrete Spacetime","16 pages, 1 figure","Phys. Rev. A 89, 012302 (2014)","10.1103/PhysRevA.89.012302",,"quant-ph hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper, we consider fermionic systems in discrete spacetime evolving
with a strict notion of causality, meaning they evolve unitarily and with a
bounded propagation speed. First, we show that the evolution of these systems
has a natural decomposition into a product of local unitaries, which also holds
if we include bosons. Next, we show that causal evolution of fermions in
discrete spacetime can also be viewed as the causal evolution of a lattice of
qubits, meaning these systems can be viewed as quantum cellular automata.
Following this, we discuss some examples of causal fermionic models in discrete
spacetime that become interesting physical systems in the continuum limit:
Dirac fermions in one and three spatial dimensions, Dirac fields and briefly
the Thirring model. Finally, we show that the dynamics of causal fermions in
discrete spacetime can be efficiently simulated on a quantum computer.
","[{""version"":""v1"",""created"":""Tue, 19 Mar 2013 16:23:29 GMT""}]","2014-01-08"
"1303.4653","Lance Labun","Lance Labun and Jan Rafelski","Nonlinear Electromagnetic Forces in Astrophysics","14 pages, 2 figures, Acta Phys Pol B style, presented by LL at 52
  Krakow School of Theoretical Physics: Astroparticle Physics in the LHC Era,
  Zakopane, May 19-27, 2012","Acta Phys. Pol. B 43, 2237 (2012)","10.5506/APhysPolB.43.2237",,"astro-ph.HE","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Electromagnetism becomes a nonlinear theory having (effective) photon-photon
interactions due at least to electron-positron fluctuations in the vacuum. We
discuss the consequences of the nonlinearity for the force felt by a charge
probe particle, and compare the impact of Euler-Kockel QED effective
nonlinearity to the possibility of Born-Infeld-type nonlinearity.
","[{""version"":""v1"",""created"":""Tue, 19 Mar 2013 16:27:19 GMT""}]","2013-03-20"
"1303.4654","Jostein Riiser Kristiansen","Jostein R. Kristiansen, {\O}ystein Elgar{\o}y, Carlo Giunti, Marco
  Laveder","Cosmology with sterile neutrino masses from oscillation experiments","8 pages",,,,"astro-ph.CO hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  There are hints, both from cosmology and from neutrino oscillation
experiments, that one or two sterile neutrinos with eV masses are favored. We
consider the implications of combining data from short baseline neutrino
experiments with cosmological observations. In particular we consider
cosmological models where the equation of state of dark energy and the
curvature are allowed to vary. We find that the consistency of results from
short baseline experiments and cosmology is dependent on the cosmological data
sets that are used. When the two are consistent, we find that the inclusion of
information from short baseline experiments only mildly affects the preferred
values of the cosmological model parameters. A universe with a cosmological
constant type dark energy and zero curvature is still fully consistent with the
data we use. We also report that a thermalized sterile neutrino in the 10 eV
range is fully consistent with a wide range of cosmological data as long as
information on the matter power spectrum in not taken into account.
","[{""version"":""v1"",""created"":""Tue, 19 Mar 2013 16:39:18 GMT""}]","2013-03-20"
"1303.4655","Sergey Skipetrov E","Sergey E. Skipetrov and Igor M. Sokolov","Absence of Anderson localization of light in a random ensemble of point
  scatterers","5 pages, 3 figures. Definitions after Eq. (2) and a couple of
  misprints corrected","Phys. Rev. Lett. 112, 023905 (2014)","10.1103/PhysRevLett.112.023905",,"physics.optics cond-mat.dis-nn","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  As discovered by Philip Anderson in 1958, strong disorder can block
propagation of waves and lead to the localization of wave-like excitations in
space. Anderson localization of light is particularly exciting in view of its
possible applications for random lasing or quantum information processing. We
show that, surprisingly, Anderson localization of light cannot be achieved in a
random three-dimensional ensemble of point scattering centers that is the
simplest and widespread model to study the multiple scattering of waves.
Localization is recovered if the vector character of light is neglected. This
shows that, at least for point scatterers, the polarization of light plays an
important role in the Anderson localization problem.
","[{""version"":""v1"",""created"":""Tue, 19 Mar 2013 16:42:52 GMT""},{""version"":""v2"",""created"":""Thu, 19 Dec 2013 17:08:02 GMT""},{""version"":""v3"",""created"":""Mon, 13 Jan 2014 12:43:16 GMT""}]","2014-01-20"
"1303.4656","Hua Zheng","Hua Zheng and Aldo Bonasera","Comment on 'Evidence for Stratification of Deuterium-Tritium Fuel in
  Inertial Confinement Fusion Implosions'",,,,,"physics.plasm-ph nucl-ex nucl-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Recent implosion experiments performed at the OMEGA laser facility reported
by Casey et al.[1], displayed an anomalously low dd proton yield and a high tt
neutron yield as compared to dt fusion reactions, explained as a stratification
of the fuel in the implosion core. We suggest that in the com- pression stage
the fuel is out of equilibrium. Ions are inward accelerated to a velocity v0
independent on the particle type. Yield ratios are simply given by the ratios
of fusion cross-sections obtained at the same velocity. A 'Hubble' type model
gives also a reasonable description of the data. These considerations might be
relevant for implosion experiments at the National Ignition Facility as well.
","[{""version"":""v1"",""created"":""Tue, 19 Mar 2013 16:45:24 GMT""}]","2013-03-20"
