"1312.4415","Zaid Towfic","Zaid J. Towfic and Ali H. Sayed","Adaptive Penalty-Based Distributed Stochastic Convex Optimization","13 pages, 1 figure",,"10.1109/TSP.2014.2331615",,"math.OC cs.DC cs.MA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this work, we study the task of distributed optimization over a network of
learners in which each learner possesses a convex cost function, a set of
affine equality constraints, and a set of convex inequality constraints. We
propose a fully-distributed adaptive diffusion algorithm based on penalty
methods that allows the network to cooperatively optimize the global cost
function, which is defined as the sum of the individual costs over the network,
subject to all constraints. We show that when small constant step-sizes are
employed, the expected distance between the optimal solution vector and that
obtained at each node in the network can be made arbitrarily small. Two
distinguishing features of the proposed solution relative to other related
approaches is that the developed strategy does not require the use of
projections and is able to adapt to and track drifts in the location of the
minimizer due to changes in the constraints or in the aggregate cost itself.
The proposed strategy is also able to cope with changing network topology, is
robust to network disruptions, and does not require global information or rely
on central processors.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:01:08 GMT""}]","2015-06-18"
"1312.4416","Jaroslav Ilnytskyi","J.M. Ilnytskyi","Relation between the grafting density of liquid crystal macromolecule
  and the symmetry of self-assembled bulk phase: coarse-grained molecular
  dynamics study","12 pages, 8 figures","Condens. Matter Phys., 2013, vol. 16, No. 4, 43004:1-12","10.5488/CMP.16.43004",,"cond-mat.soft","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  I consider a generic coarse-grained model suitable for the study of bulk
self-assembly of liquid crystal (LC) macromolecules. The cases include LC
dendrimers, gold nanoparticles modified by polymer chains with terminating LC
groups and others. The study is focused on the relation between a number of
grafted chains, $N_{\rm ch}$, and the symmetry of the self-assembled bulk
phases. Simple space-filling arguments are used first to estimate stability
intervals for a rod-like, disc-like and spherulitic conformations in terms of
$N_{\rm ch}$. These are followed by coarse-grained molecular dynamics
simulations for both spontaneous and aided self-assembly of LC macromolecules
into bulk phases. In spontaneous self-assembly runs, essential coexistence of
rod-like and disc-like conformations is observed (via analysis of the
histograms for the molecular asphericity) in a broad interval of $N_{\rm ch}$,
which prevents the formation of defect-free structures. The use of uniaxial and
planar aiding fields is found to improve self-assembly into monodomain phases
by promoting conformations of respective symmetry. Strong shape-phase relation,
observed experimentally, is also indicated by the simulations by the
coincidence of the stability intervals for the respective conformations with
those for the bulk phases.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:02:22 GMT""}]","2013-12-17"
"1312.4417","Thomas Kierspel","Thomas Kierspel, Daniel A. Horke, Yuan-Pin Chang, Jochen K\""upper","Spatially separated polar samples of the cis and trans conformers of
  3-fluorophenol","5 pages, 5 figures","Chem. Phys. Lett. 591, 130 132 (2014)","10.1016/j.cplett.2013.11.010",,"physics.chem-ph physics.atm-clus","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We demonstrate the spatial separation of the cis- and trans-conformers of
3-fluorophenol in the gas phase based on their distinct electric dipole
moments. For both conformers we create very polar samples of their
lowest-energy rotational quantum states. A >95 % pure beam of
trans-3-fluorophenol and a >90 % pure beam of the lowest-energy rotational
states of the less polar cis-3-fluorophenol were obtained for helium and neon
supersonic expansions, respectively. This is the first demonstration of the
spatial separation of the lowest-energy rotational states of the least polar
conformer, which is necessary for strong alignment and orientation of all
individual conformers.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:13:55 GMT""}]","2014-01-07"
"1312.4418","Angus Mok","Angus Mok, Michael L. Balogh, Sean L. McGee, David J. Wilman, Alexis
  Finoguenov, Masayuki Tanaka, Richard G. Bower, Annie Hou, John S. Mulchaey,
  Laura C. Parker","Star Formation and Environmental Quenching of GEEC2 Group Galaxies at
  z~1","Accepted for publication in MNRAS. 17 pages, 14 figures",,"10.1093/mnras/stt2419",,"astro-ph.GA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present new analysis from the GEEC2 spectroscopic survey of galaxy groups
at $0.8<z<1$. Our previous work revealed an intermediate population between the
star-forming and quiescent sequences and a strong environmental dependence in
the fraction of quiescent galaxies. Only $\sim5$ per cent of star-forming
galaxies in both the group and field sample show a significant enhancement in
star formation, which suggests that quenching is the primary process in the
transition from the star-forming to the quiescent state. To model the
environmental quenching scenario, we have tested the use of different
exponential quenching timescales and delays between satellite accretion and the
onset of quenching. We find that with no delay, the quenching timescale needs
to be long in order to match the observed quiescent fraction, but then this
model produces too many intermediate galaxies. Fixing a delay time of 3 Gyr, as
suggested from the local universe, produces too few quiescent galaxies. The
observed fractions are best matched with a model that includes a delay that is
proportional to the dynamical time and a rapid quenching timescale ($\sim0.25$
Gyr), but this model also predicts intermediate galaxies H{\delta} strength
higher than that observed. Using stellar synthesis models, we have tested other
scenarios, such as the rejuvenation of star formation in early-type galaxies
and a portion of quenched galaxies possessing residual star formation. If
environment quenching plays a role in the GEEC2 sample, then our work suggests
that only a fraction of intermediate galaxies may be undergoing this transition
and that quenching occurs quite rapidly in satellite galaxies ($\lesssim0.25$
Gyr).
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:23:22 GMT""}]","2015-06-18"
"1312.4419","Noam Bernstein","Thomas Stecher, Noam Bernstein, G\'abor Cs\'anyi","Free energy surface reconstruction from umbrella samples using Gaussian
  process regression","34 pages, 10 figures. Combines previous version part I (arxiv
  1312.4419) and part II (arxiv 1312.4420)",,"10.1021/ct500438v",,"cond-mat.stat-mech","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We demonstrate how the Gaussian process regression approach can be used to
efficiently reconstruct free energy surfaces from umbrella sampling
simulations. By making a prior assumption of smoothness and taking account of
the sampling noise in a consistent fashion, we achieve a significant
improvement in accuracy over the state of the art in two or more dimensions or,
equivalently, a significant cost reduction to obtain the free energy surface
within a prescribed tolerance in both regimes of spatially sparse data and
short sampling trajectories. Stemming from its Bayesian interpretation the
method provides meaningful error bars without significant additional
computation. A software implementation is made available on www.libatoms.org.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:23:36 GMT""},{""version"":""v2"",""created"":""Thu, 24 Jul 2014 12:45:15 GMT""}]","2014-07-25"
"1312.4420","Noam Bernstein","Noam Bernstein, Thomas Stecher, G\'abor Cs\'anyi","Free energy surface reconstruction from umbrella samples using Gaussian
  process regression II: Multiple collective variables","combined with part I in new revision of arxiv:1312.4419",,,,"cond-mat.stat-mech","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We demonstrate how a prior assumption of smoothness can be used to enhance
the reconstruction of free energy profiles from multiple umbrella sampling
simulations using the Bayesian Gaussian process regression approach. The method
we derive allows the concurrent use of histograms and free energy gradients and
can easily be extended to include further data. In Part I we review the
necessary theory and test the method for one collective variable. We
demonstrate improved performance with respect to the weighted histogram
analysis method and obtain meaningful error bars without any significant
additional computation. In Part II we consider the case of multiple collective
variables and compare to a reconstruction using least squares fitting of radial
basis functions. We find substantial improvements in the regimes of spatially
sparse data or short sampling trajectories. A software implementation is made
available on www.libatoms.org.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:24:06 GMT""},{""version"":""v2"",""created"":""Thu, 24 Jul 2014 12:43:26 GMT""}]","2014-07-25"
"1312.4421","Andreas P. Braun","Andreas P. Braun, Yusuke Kimura and Taizan Watari","On the Classification of Elliptic Fibrations modulo Isomorphism on K3
  Surfaces with large Picard Number","77 pages, 8 figures, 9 tables, includes a review on classifications
  of elliptic fibrations on K3 surfaces",,,,"math.AG hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Motivated by a problem originating in string theory, we study elliptic
fibrations on K3 surfaces with large Picard number modulo isomorphism. We give
methods to determine upper bounds for the number of inequivalent K3 surfaces
sharing the same frame lattice. For any given Neron--Severi lattice $S_X$, such
a bound on the `multiplicity' can be derived by investigating the quotient of
the isometry group of $S_X$ by the automorphism group. The resulting bounds are
strongest for large Picard numbers and multiplicities of unity do indeed occur
for a number of K3 surfaces with Picard number 20. Under a few extra
conditions, a more refined analysis is also possible by explicitly studying the
embedding of $S_X$ into the even unimodular lattice ${\rm II}_{1,25}$ and
exploiting the detailed structure of the isometry groups of $S_X$ and ${\rm
II}_{1,25}$. We illustrate these methods in examples and derive bounds for the
number of elliptic fibrations on Kummer surfaces of Picard numbers 17 and 20.
As an intermediate step, we also discuss coarser classification schemes and
review known results.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:38:04 GMT""}]","2013-12-17"
"1312.4422","Ella Gale","Ella M. Gale, Benjamin de Lacy Costello and Andrew Adamatzky","Which Memristor Theory is Best for Relating Devices Properties to
  Memristive Function?","32 pages, 18 figures",,,,"cond-mat.mtrl-sci cond-mat.mes-hall cs.ET physics.chem-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  There are three theoretical models which purport to relate
experimentally-measurable or fabrication-controllable device properties to the
memristor's operation: 1. Strukov et al's phenomenological model; 2. Georgiou
et al's Bernoulli rewrite of that phenomenological model; 3. Gale's
memory-conservation model. They differ in their prediction of the effect on
memristance of changing the electrode size and factors that affect the
hysteresis. Using a batch of TiO$_2$ sol-gel memristors fabricated with
different top electrode widths we test and compare these three theories. It was
found that, contrary to model 2's prediction, the `dimensionless lumped
parameter', $\beta$, did not correlate to any measure of the hysteresis.
Contrary to model 1, memristance was found to be dependent on the three spatial
dimensions of the TiO$_2$ layer, as was predicted by model 3. Model 3 was found
to fit the change in resistance value with electrode size. Simulations using
model 3 and experimentally derived values for contact resistance gave
hysteresis values that were linearly related to (and only one order of
magnitude out) from the experimentally-measured values. Memristor hysteresis
was found to be related to the ON state resistance and thus the electrode size
(as those two are related). These results offer a verification of the
memory-conservation theory of memristance and its association of the vacancy
magnetic flux with the missing magnetic flux in memristor theory. This is the
first paper to experimentally test various theories pertaining to the operation
of memristor devices.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:45:42 GMT""}]","2013-12-17"
"1312.4423","Changick Song","Changick Song and Cong Ling","Achievable Diversity-Rate Tradeoff of MIMO AF Relaying Systems with MMSE
  Transceivers","6 pages, 3 figures",,,,"cs.IT math.IT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  This paper investigates the diversity order of the minimum mean squared error
(MMSE) based optimal transceivers in multiple-input multiple-output (MIMO)
amplify-and-forward (AF) relaying systems. While the diversity-multiplexing
tradeoff (DMT) analysis accurately predicts the behavior of the MMSE receiver
for the positive multiplexing gain, it turned out that the performance is very
unpredictable via DMT for the case of fixed rates, because MMSE strategies
exhibit a complicated rate dependent behavior. In this paper, we establish the
diversity-rate tradeoff performance of MIMO AF relaying systems with the MMSE
transceivers as a closed-form for all fixed rates, thereby providing a complete
characterization of the diversity order together with the earlier work on DMT.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:47:46 GMT""}]","2013-12-17"
"1312.4424","Zuoqiang Shi","Zuoqiang Shi and Jian Sun","Convergence of the Point Integral method for the Poisson equation with
  Dirichlet boundary on point cloud",,,,,"math.NA math.DG math.SP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The Poisson equation on manifolds plays an fundamental role in many
applications. Recently, we proposed a novel numerical method called the Point
Integral method (PIM) to solve the Poisson equations on manifolds from point
clouds. In this paper, we prove the convergence of the point integral method
for solving the Poisson equation with the Dirichlet boundary condition.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:48:14 GMT""},{""version"":""v2"",""created"":""Tue, 11 Mar 2014 02:21:45 GMT""},{""version"":""v3"",""created"":""Thu, 4 Jun 2015 09:41:02 GMT""},{""version"":""v4"",""created"":""Thu, 5 May 2016 09:41:20 GMT""}]","2016-05-06"
"1312.4425","Winfried G\""odert","Winfried G\""odert","An Ontology-based Model for Indexing and Retrieval",,,,,"cs.IR","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Starting from an unsolved problem of information retrieval this paper
presents an ontology-based model for indexing and retrieval. The model combines
the methods and experiences of cognitive-to-interpret indexing languages with
the strengths and possibilities of formal knowledge representation. The core
component of the model uses inferences along the paths of typed relations
between the entities of a knowledge representation for enabling the
determination of hit quantities in the context of retrieval processes. The
entities are arranged in aspect-oriented facets to ensure a consistent
hierarchical structure. The possible consequences for indexing and retrieval
are discussed.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:49:32 GMT""}]","2013-12-17"
"1312.4426","R.J. Vanderbei","Robert Vanderbei and Han Liu and Lie Wang and Kevin Lin","Optimization for Compressed Sensing: the Simplex Method and Kronecker
  Sparsification",,,,,"stat.ML cs.LG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper we present two new approaches to efficiently solve large-scale
compressed sensing problems. These two ideas are independent of each other and
can therefore be used either separately or together. We consider all
possibilities.
  For the first approach, we note that the zero vector can be taken as the
initial basic (infeasible) solution for the linear programming problem and
therefore, if the true signal is very sparse, some variants of the simplex
method can be expected to take only a small number of pivots to arrive at a
solution. We implemented one such variant and demonstrate a dramatic
improvement in computation time on very sparse signals.
  The second approach requires a redesigned sensing mechanism in which the
vector signal is stacked into a matrix. This allows us to exploit the Kronecker
compressed sensing (KCS) mechanism. We show that the Kronecker sensing requires
stronger conditions for perfect recovery compared to the original vector
problem. However, the Kronecker sensing, modeled correctly, is a much sparser
linear optimization problem. Hence, algorithms that benefit from sparse problem
representation, such as interior-point methods, can solve the Kronecker sensing
problems much faster than the corresponding vector problem. In our numerical
studies, we demonstrate a ten-fold improvement in the computation time.
","[{""version"":""v1"",""created"":""Mon, 16 Dec 2013 16:51:51 GMT""}]","2013-12-17"
